Machine Identifier,Site Session ID,Domain ID,Date of Activity,Time of Activity,Product Category ID,Product Name,product Quantity,Product Total Price,Basket Total,Most Education -- Head of Household,Census Region,Household Size,Oldest Age -- Head of Household,Household Income,Children Present,Racial Background,Connection Speed,Country of Origin,Zip Code,Domain Name
13544187,1.06558E+14,4.04667E+18,20120720,22:38:22,16,"PHILIPS NORELCO RQ12 REPLACEMENT HEADS FOR SENSOTOUCH 3D ELECTRIC SHAVER, SILVER N/A",1,49.97,49.97,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,1491276387,4.04667E+18,20121119,20:49:19,16,MEDICOOL MANICURE PEDICURE CADDY WITH RECHARGEABLE BATTERY - MEDICOOL 000000000008 N/A,1,28,33.48,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,1835733604,4.04667E+18,20121120,17:03:31,31,TASERAR C2 LITHIUM REPLACEMENT BATTERY PACK N/A,1,34.39,41.87,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,2123567705,4.04667E+18,20121109,17:20:15,21,"WHEN I SAY NO I FEEL GUILTY, VOL. II, FOR MANAGERS AND EXECUTIVES N/A",1,14.95,18.94,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,2206929452,4.04667E+18,20120925,14:52:04,1,"NEW YORK TO DALLAS (IN DEATH, NO. 33) N/A",1,0.01,7,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,7.38912E+13,4.04667E+18,20120207,1:40:04,17,SLEEP INNOVATIONS COOL CONTOUR MEMORY FOAM PILLOW N/A,1,25.48,31.89,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,7.74458E+13,4.04667E+18,20120320,7:50:08,39,"FURINNO HIDUP MID BACK FABRIC COMPUTER WORK OFFICE POSTURE TASK CHAIR, WA-213 N/A",1,75.99,143.43,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,7.94921E+13,4.04667E+18,20120425,16:52:52,7,"HOOVER TEMPO WIDEPATH UPRIGHT VACUUM, BAGGED N/A",1,79,107.8,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,7.94921E+13,4.04667E+18,20120425,16:52:52,17,"HOOVER WINDTUNNEL UPRIGHT TYPE Y VACUUM BAGS MICROFILTRATION WITH CLOSURE - 9 PACK, COMPARE WITH HOOVER PART # 4010100Y N/A",1,7.06,107.8,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,8.01191E+13,4.04667E+18,20120409,19:00:06,17,"COASTER MICROFIBER CHAIRS, CAPPUCCINO, SET OF 2 N/A",1,73.9,110.86,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,9.18983E+13,4.04667E+18,20120623,18:51:12,21,WITNESS IN DEATH N/A,1,7.99,35.85,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,9.18983E+13,4.04667E+18,20120623,18:51:12,13,"MELITTA EUROPEAN ROAST EXTRA DARK GROUND COFFEE, 10.5-OUNCE CANS (PACK OF 4) N/A",1,19.76,35.85,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,9.55895E+13,4.04667E+18,20120609,15:41:24,28,"CHESTER CREEK (CCT) VISIONBOARD BLACK WIRELESS LARGE PRINT KEYBOARD AND WIRELESS MOUSE MODEL WVBB+M. WINDOWS AND MAC - LARGE, VIVID, HIGH VISIBILITY KEYS FOR IMPROVED VISION, READABILITY, AND CONTROL. N/A",1,87.32,82.32,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,9.55896E+13,4.04667E+18,20120609,14:53:19,1,KEYS-U-SEE YELLOW AND BLACK LARGE LETTERS / PRINT COMPUTER KEYBOARD WITH USB PLUG AND CHORD OVERSIZED BLACK LETTERS ON YELLOW BACKGROUND FOR WEAK VISION AND LOW DIM LIGHT N/A,1,42.12,42.12,99,3,2,11,6,0,1,1,0,34110,amazon.com
13544187,9.97181E+13,4.04667E+18,20120721,17:16:39,10,"POINTEHAVEN T-800 PIMA COTTON DEEP POCKET LUXURY QUEEN SHEET SET, CLOUD BLUE N/A",1,99.99,108.82,99,3,2,11,6,0,1,1,0,34110,amazon.com
15689466,7.13642E+13,4.04667E+18,20120129,13:29:28,27,SONY SRF59SILVER AM/FM WALKMAN STEREO RADIO N/A,1,14.99,20.57,99,3,3,8,7,1,1,1,0,22193,amazon.com
17644491,1.02074E+14,4.04667E+18,20120619,0:28:08,21,THE DIABETES CARBOHYDRATE AND FAT GRAM GUIDE N/A,1,11.75,65.6,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,1.02074E+14,4.04667E+18,20120619,0:28:08,21,YOUR FIRST 100 WORDS ARABIC W/AUDIO CD (YOUR FIRST 100 WORDS IN...SERIES) N/A,2,26.52,65.6,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,1.02074E+14,4.04667E+18,20120619,0:28:08,21,CHICKEN SOUP FOR THE SOUL MY CAT'S LIFE 101 STORIES ABOUT ALL THE AGES AND STAGES OF OUR FELINE FAMILY MEMBERS N/A,1,11.37,65.6,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,1.04459E+14,4.04667E+18,20120702,1:41:35,21,USA TODAY WORD ROUNDUP 200 PUZZLES FROM THE NATION'S NO. 1 NEWSPAPER N/A,1,9.99,25.96,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,1.04459E+14,4.04667E+18,20120702,1:41:35,54,POCKET POSH WORD ROUNDUP 3 100 PUZZLES (POCKET POSH PUZZLE) N/A,1,7.99,25.96,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,1.11476E+14,4.04667E+18,20120822,19:43:02,23,MATLOCK - THE SECOND SEASON N/A,1,16.8,52.96,99,2,4,8,4,1,1,1,0,68124,amazon.com
