machine_id,site_session_id,domain_id,event_date,event_time,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name
13544187,77445793780079,4046669681622005860,20120320,7:50:08,39,"FURINNO HIDUP MID BACK FABRIC COMPUTER WORK OFFICE POSTURE TASK CHAIR, WA-213 N/A",1,75.99,143.43,99,3,2,11,6,0,1,1,0,34110,amazon.com
54590783,74537789755762,4046669681622005860,20120323,11:37:31,1,HEMALAYAA BEAUTIFUL BELLY N/A,1,12.99,43.17,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,74537789755762,4046669681622005860,20120323,11:37:31,99,HEMALAYAA BOLLYWOOD BOOTY N/A,1,12.73,43.17,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,74537789755762,4046669681622005860,20120323,11:37:31,23,THE BOLLYWOOD DANCE WORKOUT WITH HEMALAYAA N/A,1,12.49,43.17,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,74537799192946,4046669681622005860,20120323,1:04:45,34,ISOPROPYL ALCOHOL- 99% 16 OZ. PLASTIC BOTTLE- 12 PER CASE AT HOME EMERGENCY N/A,2,63.90,88.40,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,75646584164702,4046669681622005860,20120303,5:07:52,23,MARTIN THE COMPLETE SEASONS 1 & 2 N/A,1,16.80,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,75646584164702,4046669681622005860,20120303,5:07:52,23,MY WIFE & KIDS SEASON ONE N/A,1,5.50,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,75646584164702,4046669681622005860,20120303,5:07:52,23,DRIVING MISS DAISY (KEEPCASE PACKAGING) N/A,1,4.98,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,75646584164702,4046669681622005860,20120303,5:07:52,23,MARTIN COMPLETE SEASONS THREE & FOUR N/A,1,16.80,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,75646584164702,4046669681622005860,20120303,5:07:52,23,MARTIN THE COMPLETE FIFTH SEASON N/A,1,18.29,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,75646584164702,4046669681622005860,20120303,5:07:52,23,MY WIFE & KIDS SEASON TWO N/A,1,6.00,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
66038425,75227010240869,4046669681622005860,20120310,4:35:01,16,RED SILICONE RUBBER GEL SOFT SKIN CASE COVER FOR SAMSUNG GALAXY S 4G N/A,1,2.50,13.73,99,3,3,4,5,1,2,1,0,36083,amazon.com
66038425,75227010240869,4046669681622005860,20120310,4:35:01,34,LIGHT PINK SILICONE CASE / SKIN / COVER FOR SAMSUNG VIBRANT T959 / T959V GALAXY S 4G N/A,1,1.14,13.73,99,3,3,4,5,1,2,1,0,36083,amazon.com
66038425,75227010240869,4046669681622005860,20120310,4:35:01,34,WHITE SILICONE CASE / SKIN / COVER FOR SAMSUNG VIBRANT T959 / T959V GALAXY S 4G N/A,1,1.21,13.73,99,3,3,4,5,1,2,1,0,36083,amazon.com
