Household Income,Household Size,Census Region,Product Total Price,Connection Speed,Children Present,Domain ID,Basket Total,Machine Identifier,Zip Code,product Quantity,Product Category ID,Date of Activity,Domain Name,Product Name,Racial Background,Most Education -- Head of Household,Site Session ID,Time of Activity,Country of Origin,Oldest Age -- Head of Household
6,2,3,49.97,1,0,4.04667E+18,49.97,13544187,34110,1,16,20120720,amazon.com,"PHILIPS NORELCO RQ12 REPLACEMENT HEADS FOR SENSOTOUCH 3D ELECTRIC SHAVER, SILVER N/A",1,99,1.06558E+14,22:38:22,0,11
6,2,3,28,1,0,4.04667E+18,33.48,13544187,34110,1,16,20121119,amazon.com,MEDICOOL MANICURE PEDICURE CADDY WITH RECHARGEABLE BATTERY - MEDICOOL 000000000008 N/A,1,99,1491276387,20:49:19,0,11
4,4,2,3.91,1,1,4.04667E+18,59.64,17644491,68124,1,16,20120506,amazon.com,VERY CONVENIENT MARRIAGE (A FAMILY CIRCLE) (SILHOUETTE INTIMATE MOMENTS) N/A,1,99,7.68242E+13,22:43:28,0,8
2,1,4,12.95,1,0,4.04667E+18,64.77,61938846,92056,1,16,20120702,amazon.com,IQ NATURAL SILK PRIMER 2OZ IRRITANT-FREE FOUNDATION PRIMER N/A,1,99,1.04475E+14,19:07:48,0,11
5,3,1,18.95,0,1,4.04667E+18,49.6,65517106,3038,1,16,20120718,amazon.com,"OLAY DEFINITY INTENSE HYDRATING CREAM, 1.7 OUNCE N/A",1,99,1.10065E+14,15:48:20,0,5
5,3,1,11.66,0,1,4.04667E+18,49.6,65517106,3038,2,16,20120718,amazon.com,THAI DEODORANT STICK 4.25 OUNCES N/A,1,99,1.10065E+14,15:48:20,0,5
5,3,1,6.7,0,1,4.04667E+18,49.6,65517106,3038,1,16,20120718,amazon.com,"OLAY DEFINITY ILLUMINATING EYE TREATMENT - TREATMENT 0.5 OZ, .5 OZ N/A",1,99,1.10065E+14,15:48:20,0,5
5,3,1,31.45,0,1,4.04667E+18,145.34,65517106,3038,1,16,20121018,amazon.com,BOSLEY REVIVE STARTER PACK FOR VISIBLY THINNING / COLOR-TREATED HAIR N/A,1,99,25298604611,16:05:31,0,5
5,3,1,29,0,1,4.04667E+18,145.34,65517106,3038,1,16,20121018,amazon.com,"OLAY DEFINITY INTENSE HYDRATING CREAM, 1.7  OUNCE N/A",1,99,25298604611,16:05:31,0,5
5,3,1,64,0,1,4.04667E+18,109.95,65517106,3038,1,16,20121012,amazon.com,STRIVECTIN SD INTENSIVE CONCENTRATE FOR STRETCH MARKS & WRINKLES-5 OZ. N/A,1,99,29624767037,14:57:00,0,5
5,3,1,17,0,1,4.04667E+18,109.95,65517106,3038,1,16,20121012,amazon.com,"OLAY DEFINITY ILLUMINATING EYE TREATMENT SKIN CARE, 0.5 OUNCE N/A",1,99,29624767037,14:57:00,0,5
5,3,1,20.99,0,1,4.04667E+18,254.25,65517106,3038,1,16,20120502,amazon.com,SOLAR PROTECTION FORMULA SPF 58 MINERAL BLOCK N/A,1,99,7.83745E+13,12:03:43,0,5
5,3,3,2.5,1,1,4.04667E+18,13.73,66038425,36083,1,16,20120310,amazon.com,RED SILICONE RUBBER GEL SOFT SKIN CASE COVER FOR SAMSUNG GALAXY S 4G N/A,2,99,7.5227E+13,4:35:01,0,4
7,6,4,69.9,1,1,4.04667E+18,81.88,70259171,92336,2,16,20120315,amazon.com,NIOXIN INTENSIVE HAIR FOLLICLE BOOSTER 3.4 OZ FOR THIN HAIR N/A,1,99,7.75313E+13,3:48:32,0,5
6,4,3,1.5,1,1,4.04667E+18,80.26,70427834,77388,1,16,20120424,amazon.com,SEXY SPARKLES ZEBRZ FEATHER HAIR EXTENSION WITH 5 SALON QUALITY FEATHERS FOR HAIR EXTENSION WITH BLACK & WHITE AMERICAN ROOSTER FEATHERS N/A,3,99,7.97501E+13,2:56:18,0,11
