connection_speed,prod_qty,zip_code,basket_tot,event_time,hoh_oldest_age,domain_name,prod_category_id,prod_totprice,racial_background,country_of_origin,children,census_region,household_income,household_size,hoh_most_education,event_date,machine_id,domain_id,prod_name,site_session_id
1,1,75098,137.97,20:02:16,9,amazon.com,3,15.79,5,1,1,3,1,4,99,20120322,93813748,4046669681622005860,EVERLAST NEOPRENE HEAVY BAG GLOVES N/A,77203932189041
1,1,85281,39.22,5:49:11,5,amazon.com,3,6.07,1,0,1,4,1,4,99,20120320,94484742,4046669681622005860,BRAND NEW BLACK ALUMINUM WALLET CREDIT CARDS HOLDER - RFID BLOCKING N/A,78209852772719
1,1,89074,144.77,0:11:17,9,amazon.com,3,7.25,1,0,0,4,7,1,99,20120327,94534289,4046669681622005860,WHITE AND GREY ROBOTO SUNGLASSES N/A,77672714146166
1,1,89074,144.77,0:11:17,9,amazon.com,3,6.99,1,0,0,4,7,1,99,20120327,94534289,4046669681622005860,ROBOT SHADES - ANDROID SUNGLASSES IN MANY COLORS N/A,77672714146166
1,1,89074,144.77,0:11:17,9,amazon.com,3,3.99,1,0,0,4,7,1,99,20120327,94534289,4046669681622005860,VINTAGE WAYFARER STYLE SUNGLASSES DARK LENSES BLUE W/ DOTS N/A,77672714146166
1,1,77377,77.23,3:45:39,9,amazon.com,3,29.99,1,0,1,3,5,4,99,20120325,95716363,4046669681622005860,US MILITARY SURPLUS ACU LARGE MOLLE ASSAULT PACK BACKPACK N/A,75055128056180
1,1,26753,149.43,21:47:41,11,amazon.com,3,26.74,1,0,1,3,4,2,99,20120313,96081436,4046669681622005860,"HIGH SIERRA SHELBY TOTE (16 X 14 X 5-INCH, FEATHER RAINBOW) N/A",77954601980264
1,1,26753,149.43,21:47:41,11,amazon.com,3,37.96,1,0,1,3,4,2,99,20120313,96081436,4046669681622005860,"NINE WEST  AMAZON SQUARED OFF SHOULDER BAG,TEAL/BLACK,ONE SIZE N/A",77954601980264
1,1,94014,131.96,21:50:16,5,amazon.com,3,4.11,3,0,1,4,6,5,99,20120311,96424316,4046669681622005860,TRAVELON TOILETRY SHEETS SHAMPOO N/A,76302134022502
1,1,94014,131.96,21:50:16,5,amazon.com,3,9.99,3,0,1,4,6,5,99,20120311,96424316,4046669681622005860,HANDY SOLUTIONS PREMIUM WOMEN'S TRAVEL KIT N/A,76302134022502
1,1,94014,185.02,5:05:42,5,amazon.com,3,10.95,3,0,1,4,6,5,99,20120302,96424316,4046669681622005860,THROWBACK ACCORDION STYLE WOMEN'S WINTER HAT BY ELIEHATS N/A,76358449631581
1,1,94014,400.05,18:27:43,5,amazon.com,3,16.00,3,0,1,4,6,5,99,20120301,96424316,4046669681622005860,"ORE ORIGINALS GOOD LUNCH SACK, BLISSFUL BLUE N/A",77077665288540
1,1,94014,400.05,18:27:43,5,amazon.com,3,59.00,3,0,1,4,6,5,99,20120301,96424316,4046669681622005860,"ROCKLAND LUGGAGE 20 INCH POLYCARBONATE CARRY ON LUGGAGE, LOVE, ONE SIZE N/A",77077665288540
1,1,94014,400.05,18:27:43,5,amazon.com,3,7.27,3,0,1,4,6,5,99,20120301,96424316,4046669681622005860,"TRAVELON 2 HARD LUGGAGE TAGS, ONE SIZE, GREEN N/A",77077665288540
1,1,89509,112.17,1:38:19,7,amazon.com,3,49.99,1,0,1,4,7,4,99,20120316,98326291,4046669681622005860,BUNNY GLOVE SET WHITE RAVE GLOVES LED LIGHT SHOW EDOTZ - GUMMY N/A,77160533135723
1,1,89509,112.17,1:38:19,7,amazon.com,3,39.49,1,0,1,4,7,4,99,20120316,98326291,4046669681622005860,LANCOME BY LANCOME TEINT IDOLE ULTRA - ENDURINGLY DIVINE COMFORT MAKEUP - BISQUE 6 (W) --30ML/1OZ N/A,77160533135723
1,1,80027,66.42,14:00:00,9,amazon.com,3,7.99,3,0,0,4,7,2,99,20120311,98539502,4046669681622005860,AMAZONBASICS FAUX LEATHER CARRYING CASE FOR 5-INCH GPS N/A,76508900757862
1,1,70454,36.94,23:24:06,11,amazon.com,3,32.95,1,0,0,3,4,1,99,20120320,98964594,4046669681622005860,GUSTBUSTER CLASSIC 48-INCH AUTOMATIC GOLF UMBRELLA (BLACK) N/A,78606412681583
1,2,77584,54.58,23:34:25,5,amazon.com,3,10.66,1,0,1,3,6,3,99,20120306,98966290,4046669681622005860,LACING & TRACING DINOSAURS N/A,77770540323169
1,1,76511,79.97,14:47:32,3,amazon.com,3,59.99,1,0,0,3,1,4,99,20120323,99366500,4046669681622005860,"AMAZON KINDLE LIGHTED LEATHER COVER, SADDLE TAN N/A",75596949098866
1,1,44401,52.82,23:13:12,8,amazon.com,3,37.78,1,0,1,2,6,4,99,20120307,99371737,4046669681622005860,"NINE WEST WOMEN'S REAVES PLATFORM PUMP,NATURAL/BLACK COW FUR,7.5 M US N/A",76838596579682
1,1,44401,52.82,23:13:12,8,amazon.com,3,40.04,1,0,1,2,6,4,99,20120307,99371737,4046669681622005860,"NINE WEST WOMEN'S REAVES PLATFORM PUMP,DARK YELLOW CROC,7.5 M US N/A",76838596579682
1,1,77040,5.39,21:54:37,11,amazon.com,3,2.40,1,0,0,3,5,1,99,20120309,99582010,4046669681622005860,VINTAGE TRUCKER HAT SOLID - BLACK N/A,76052576473444
1,1,17268,19.70,20:08:08,5,amazon.com,3,2.09,1,0,1,1,3,4,99,20120310,99689474,4046669681622005860,NEON GREEN WAYFARER SUNGLASSES N/A,76378417533285
1,1,71111,69.34,17:05:15,4,amazon.com,3,20.26,2,0,1,3,3,3,99,20120314,99693599,4046669681622005860,VTECH - TOTE & GO LAPTOP WITH WEB CONNECT N/A,78470810898793
1,2,04083,31.98,21:31:35,11,amazon.com,3,31.98,1,0,0,1,3,2,99,20120304,1.009E8,4046669681622005860,PROACTIVE SPORTS 5\\1 SUNDAY BAG N/A,77660170817887
1,1,71107,18.02,15:29:35,3,amazon.com,3,12.99,1,0,1,3,2,3,99,20120315,1.0098E8,4046669681622005860,PURSE SIZE DELUXE COUPON ORGANIZER WALLET TOCART #91 N/A,78838111408490
1,2,11379,151.72,16:44:18,10,amazon.com,3,39.90,1,0,1,1,6,2,99,20120318,1.0157E8,4046669681622005860,RICK STEVES PACKING CUBE SET N/A,76806913134957
1,1,19720,104.99,19:16:22,3,amazon.com,3,104.99,1,0,1,3,2,4,99,20120303,1.0165E8,4046669681622005860,PETUNIA PICKLE BOTTOM BOXY BACKPACK (OASIS ROLL) N/A,77103913963870
1,1,78746,0.00,2:44:42,3,amazon.com,3,13.60,3,0,1,3,5,3,99,20120303,1.0167E8,4046669681622005860,"HARIBO GUMMI CANDY, FRUIT SALAD, 5-POUND BAG SUBSCRIBE & SAVE",77152771772766
1,1,79009,52.75,21:26:26,5,amazon.com,3,18.50,1,0,0,3,4,1,99,20120303,1.0256E8,4046669681622005860,DISNEY PIXAR CARS TODDLER BACKPACK - MATOR AND LIGHTNING MCQUEEN IN ACTION MINI BACKPACK N/A,77282850378078
1,2,89081,14.09,1:17:27,5,amazon.com,3,6.38,5,1,1,4,4,5,99,20120326,1.0305E8,4046669681622005860,TWIRL-A-TIE TIE RACK/ORGANIZER N/A,78435868348789
1,1,89081,14.09,1:17:27,5,amazon.com,3,7.71,5,1,1,4,4,5,99,20120326,1.0305E8,4046669681622005860,WALNUT TIE HANGER N/A,78435868348789
1,1,06479,67.24,15:07:56,8,amazon.com,3,3.99,1,0,1,1,7,4,99,20120317,1.0423E8,4046669681622005860,80S COLLECTION CLASSIC RETRO WAYFARER SUNGLASSES [BLACK/TORTOISE] N/A,76048973697388
1,2,31605,41.38,2:14:42,6,amazon.com,3,34.08,1,0,1,3,7,5,99,20120306,1.0508E8,4046669681622005860,TORO BLOWER 51601 VAC REPLACEMENT VACUUM BAG N/A,78753946538337
1,1,46360,146.31,0:03:27,11,amazon.com,3,0.78,1,0,0,2,5,1,99,20120319,1.0519E8,4046669681622005860,PHOENIX IN FLAMES (PHOENIX FORCE) N/A,78708908953966
1,1,95128,178.14,1:37:23,9,amazon.com,3,41.49,1,0,1,4,1,3,99,20120317,1.0605E8,4046669681622005860,ROTHCO MOSSAD TACTICAL DUFFLE BAG N/A,76388409086316
1,1,07034,20.46,8:39:23,11,amazon.com,3,12.98,1,0,1,1,2,5,99,20120331,1.0617E8,4046669681622005860,STRAWBERRY SHORTCAKE GIRLS HANDBAG PURSE N/A,77144587047290
1,1,08872,42.03,15:48:20,5,amazon.com,3,8.95,3,0,0,1,4,2,99,20120301,1.0618E8,4046669681622005860,NEW MOM TO BE TIARA N/A,78518948008284
1,1,03063,213.90,16:39:34,8,amazon.com,3,52.95,5,1,0,1,5,2,99,20120316,1.0618E8,4046669681622005860,TAUPE SAVITHA HOBO N/A,78356022759787
1,1,03063,213.90,16:39:34,8,amazon.com,3,54.00,5,1,0,1,5,2,99,20120316,1.0618E8,4046669681622005860,BROWN EXTRA LARGE VITALIO ''CLAUDETTE'' SATCHEL N/A,78356022759787
1,1,30324,47.99,6:02:52,4,amazon.com,3,47.99,1,0,1,3,6,2,99,20120302,1.0641E8,4046669681622005860,LENOVO THINKPAD BUSINESS BACKPACK 43R2482 N/A,77794643218781
1,1,78504,49.96,7:44:00,6,amazon.com,3,30.99,3,0,1,3,7,4,99,20120301,1.0647E8,4046669681622005860,JANSPORT BACKPACK SUPERBREAK NAVY BLUE FOR SCHOOL WORK OR PLAY N/A,78552230400348
1,1,32536,32.44,17:43:08,5,amazon.com,3,25.00,1,0,1,3,1,4,99,20120319,1.0656E8,4046669681622005860,MEN'S TRUCKER HAT N/A,79037556068718
1,1,32536,42.00,17:43:08,5,amazon.com,3,25.00,1,0,1,3,1,4,99,20120319,1.0656E8,4046669681622005860,MEN'S TRUCKER HAT N/A,79037556068718
1,1,06085,19.72,13:17:27,11,amazon.com,3,2.95,1,0,0,1,3,1,99,20120310,1.0697E8,4046669681622005860,VINTAGE BUFFALO CHECKER WAYFARER STYLE SUNGLASSES WITH FREE EYEWEAR HOLDER (WHITE) N/A,77591276163429
1,1,06085,19.72,13:17:27,11,amazon.com,3,3.99,1,0,0,1,3,1,99,20120310,1.0697E8,4046669681622005860,VINTAGE WAYFARER STYLE SUNGLASSES DARK LENSES BLUE W/ DOTS N/A,77591276163429
1,1,06085,19.72,13:17:27,11,amazon.com,3,3.99,1,0,0,1,3,1,99,20120310,1.0697E8,4046669681622005860,VINTAGE WAYFARER STYLE SUNGLASSES DARK LENSES PURPLE W/ DOTS N/A,77591276163429
1,1,06085,19.72,13:17:27,11,amazon.com,3,3.99,1,0,0,1,3,1,99,20120310,1.0697E8,4046669681622005860,VINTAGE WAYFARER STYLE SUNGLASSES - 15 COLORS DARK LENSES WHITE W/ DOTS N/A,77591276163429
1,1,15102,4.52,16:01:16,11,amazon.com,3,4.52,1,0,1,1,3,4,99,20120330,1.0723E8,4046669681622005860,TEES & NOVELTIES PATCHES FOR EVERYONE IRON-ON APPLIQUES-AMERICAN FLAG 1/PKG N/A,79794017014137
1,1,79416,38.97,18:13:11,4,amazon.com,3,31.62,3,0,1,3,3,3,99,20120322,1.0792E8,4046669681622005860,SPACE BAG 14 BAG SPACE SAVER SET N/A,79233567363441
1,1,14767,30.47,0:19:18,11,amazon.com,3,7.50,1,0,1,1,5,3,99,20120326,1.0873E8,4046669681622005860,DELUXE SATIN TOP HAT BLACK N/A,79589152526709
1,1,19104,99.92,4:05:54,8,amazon.com,3,19.95,3,0,1,1,1,4,99,20120316,1.0908E8,4046669681622005860,10\\1 PINK CIRCLES UMBRELLA N/A,79087138902379
1,1,98270,38.17,1:59:01,9,amazon.com,3,7.89,1,0,1,4,1,2,99,20120322,1.0979E8,4046669681622005860,OCEAN STAR INTERNATIONAL ARTEMIA BRINE FOOD 6GM N/A,79590294557041
1,1,50265,24.51,21:22:23,11,amazon.com,3,8.98,1,0,0,2,1,2,99,20120304,1.109E8,4046669681622005860,LUGGAGE LOCK M&M'S TSA SECURE KEY SUITCASE BACKPACK LUGGAGE TRAVEL BLUE FUN GIFT N/A,79817232421215
1,1,50265,24.51,21:22:23,11,amazon.com,3,11.29,1,0,0,2,1,2,99,20120304,1.109E8,4046669681622005860,LUGGAGE LOCK M&M'S TSA SECURE SUITCASE BACKPACK GREEN TRAVEL COMBINATION BAGS !! N/A,79817232421215
1,1,99999,44.99,17:48:21,5,amazon.com,3,44.99,1,0,1,*,6,2,99,20120327,1.1095E8,4046669681622005860,BADAAX FLYING V ELECTRIC RED UKULELE WITH GIG BAG N/A,80331921887606
1,1,99999,229.72,16:47:35,5,amazon.com,3,7.93,1,0,1,*,6,2,99,20120320,1.1095E8,4046669681622005860,"CHARBROIL HICKORY WOOD CHIPS, 2 POUND BAG N/A",80941913149807
1,1,21229,53.57,17:50:48,4,amazon.com,3,35.99,5,0,1,3,2,3,99,20120322,1.1109E8,4046669681622005860,ROTHCO 9158 OLIVE DRAB VINTAGE STAR BACKPACK N/A,79925827998065
1,1,94806,24.62,4:00:37,4,amazon.com,3,20.00,3,0,1,4,4,2,99,20120330,1.1162E8,4046669681622005860,SHADY PEEPS NCAA POLARIZED SUNGLASSES - UCLA BRUINS GOLD FRONT BLUE WAYFARER STYLE N/A,80885052477817
1,1,17815,20.99,5:25:19,1,amazon.com,3,5.99,1,0,0,1,4,1,99,20120309,1.1167E8,4046669681622005860,MUSTACHE SUNGLASSES N/A,78560437735780
1,1,33455,34.40,16:30:49,9,amazon.com,3,0.19,1,0,1,3,4,2,99,20120328,1.126E8,4046669681622005860,COMMOTION IN THE OCEAN N/A,80511130014071
1,1,95630,215.84,2:38:35,10,amazon.com,3,95.11,1,0,0,4,7,3,99,20120331,1.1276E8,4046669681622005860,"HOBO INTERNATIONAL LAUREN WALLET,CARAMEL,ONE SIZE N/A",78916353266042
1,1,95630,215.84,2:38:35,10,amazon.com,3,52.95,1,0,0,4,7,3,99,20120331,1.1276E8,4046669681622005860,BLACK SAVITHA HOBO N/A,78916353266042
1,1,95630,215.84,2:38:35,10,amazon.com,3,52.95,1,0,0,4,7,3,99,20120331,1.1276E8,4046669681622005860,CHOCOLATE BROWN SAVITHA HOBO N/A,78916353266042
1,1,90005,67.47,8:27:17,4,amazon.com,3,11.99,3,0,1,4,3,3,99,20120320,1.1296E8,4046669681622005860,MW30070-BR GENUINE NEW LEATHER CREDIT CARD HOLDER ID WINDOW 2.75\\1 X 4\\1 BROWN WALLET N/A,81808978743663
1,1,41501,88.21,21:00:44,11,amazon.com,3,16.66,3,0,1,3,4,3,99,20120301,1.1311E8,4046669681622005860,SUPER MARIO ALL STARS N/A,80848062058844
1,1,41501,23.65,2:52:41,11,amazon.com,3,16.66,3,0,1,3,4,3,99,20120304,1.1311E8,4046669681622005860,SUPER MARIO ALL STARS N/A,80866113818975
1,1,79065,54.11,1:42:25,4,amazon.com,3,2.99,1,0,1,3,3,5,99,20120321,1.1334E8,4046669681622005860,TWIRL-A-TIE TIE RACK/ORGANIZER N/A,81928886096240
1,1,48179,108.69,0:09:53,11,amazon.com,3,10.48,1,0,1,2,1,5,99,20120328,1.1378E8,4046669681622005860,CALDWELL LEAD SLED WEIGHT BAG N/A,81125090333047
